image_file_name,image_source_url,product_sku,canonical_product_id,product_name,variant,source_site,source_page_url,image_license_status,downloaded_at,file_hash_sha256,image_width,image_height
captain-maid__1313735__floral__homepro__01.jpg,https://www.homepro.co.th/product/1313735,1313735,CAPTAIN-MAID-FLOOR-CLEANER-FLORAL-900ml,Floor Cleaner - Floral 900ml,Floral,homepro,https://www.homepro.co.th/search?q=captain+maid,retailer source-owned / needs permission for commercial reuse,2026-07-06T00:54:23.584905,pending-download,pending,pending
captain-maid__1313716__tea-tree__homepro__01.jpg,https://www.homepro.co.th/product/1313716,1313716,CAPTAIN-MAID-FLOOR-CLEANER-TEATREE-900ml,Floor Cleaner - Tea Tree 900ml,Tea Tree,homepro,https://www.homepro.co.th/search?q=captain+maid,retailer source-owned / needs permission for commercial reuse,2026-07-06T00:54:23.584928,pending-download,pending,pending
captain-maid__1313729__lavender__homepro__01.jpg,https://www.homepro.co.th/product/1313729,1313729,CAPTAIN-MAID-FLOOR-CLEANER-LAVENDER-900ml,Floor Cleaner - Lavender 900ml,Lavender,homepro,https://www.homepro.co.th/search?q=captain+maid,retailer source-owned / needs permission for commercial reuse,2026-07-06T00:54:23.584937,pending-download,pending,pending
